fileName,className,classNumber,fold
1-12653-A-15.wav,water_drops,3,1
1-12654-A-15.wav,water_drops,3,1
1-12654-B-15.wav,water_drops,3,1
1-13613-A-37.wav,clock_alarm,1,1
1-14262-A-37.wav,clock_alarm,1,1
1-16746-A-15.wav,water_drops,3,1
1-187207-A-20.wav,crying_baby,0,1
1-20736-A-18.wav,toilet_flush,2,1
1-211527-A-20.wav,crying_baby,0,1
1-211527-B-20.wav,crying_baby,0,1
1-211527-C-20.wav,crying_baby,0,1
1-22694-A-20.wav,crying_baby,0,1
1-22694-B-20.wav,crying_baby,0,1
1-23094-A-15.wav,water_drops,3,1
1-23094-B-15.wav,water_drops,3,1
1-28005-A-18.wav,toilet_flush,2,1
1-30214-A-18.wav,toilet_flush,2,1
1-34853-A-37.wav,clock_alarm,1,1
1-46274-A-18.wav,toilet_flush,2,1
1-50623-A-15.wav,water_drops,3,1
1-51170-A-18.wav,toilet_flush,2,1
1-53670-A-18.wav,toilet_flush,2,1
1-54752-A-18.wav,toilet_flush,2,1
1-56269-A-18.wav,toilet_flush,2,1
1-60997-A-20.wav,crying_baby,0,1
1-60997-B-20.wav,crying_baby,0,1
1-67033-A-37.wav,clock_alarm,1,1
1-72195-A-37.wav,clock_alarm,1,1
1-72195-B-37.wav,clock_alarm,1,1
1-74517-A-37.wav,clock_alarm,1,1
1-90797-A-15.wav,water_drops,3,1
1-96890-A-37.wav,clock_alarm,1,1
2-102435-A-37.wav,clock_alarm,1,2
2-104475-A-37.wav,clock_alarm,1,2
2-104476-A-37.wav,clock_alarm,1,2
2-107351-A-20.wav,crying_baby,0,2
2-107351-B-20.wav,crying_baby,0,2
2-117116-A-37.wav,clock_alarm,1,2
2-124564-A-15.wav,water_drops,3,2
2-139748-A-15.wav,water_drops,3,2
2-139748-B-15.wav,water_drops,3,2
2-139749-A-15.wav,water_drops,3,2
2-151079-A-20.wav,crying_baby,0,2
2-50665-A-20.wav,crying_baby,0,2
2-50666-A-20.wav,crying_baby,0,2
2-64332-A-18.wav,toilet_flush,2,2
2-64962-A-15.wav,water_drops,3,2
2-64963-A-15.wav,water_drops,3,2
2-65484-A-18.wav,toilet_flush,2,2
2-66637-A-20.wav,crying_baby,0,2
2-66637-B-20.wav,crying_baby,0,2
2-67422-A-18.wav,toilet_flush,2,2
2-68595-A-15.wav,water_drops,3,2
2-68595-B-15.wav,water_drops,3,2
2-70280-A-18.wav,toilet_flush,2,2
2-72677-A-18.wav,toilet_flush,2,2
2-74977-A-18.wav,toilet_flush,2,2
2-78562-A-37.wav,clock_alarm,1,2
2-78562-B-37.wav,clock_alarm,1,2
2-80482-A-20.wav,crying_baby,0,2
2-84943-A-18.wav,toilet_flush,2,2
2-85945-A-18.wav,toilet_flush,2,2
2-89516-A-37.wav,clock_alarm,1,2
2-96063-A-37.wav,clock_alarm,1,2
3-100018-A-18.wav,toilet_flush,2,3
3-108677-A-18.wav,toilet_flush,2,3
3-108791-A-18.wav,toilet_flush,2,3
