fileName,className,classNumber,fold
5-151085-A-20.wav,crying_baby,0,5
5-156698-A-18.wav,toilet_flush,2,5
5-177034-A-18.wav,toilet_flush,2,5
5-182404-A-18.wav,toilet_flush,2,5
5-185908-A-18.wav,toilet_flush,2,5
5-197913-A-18.wav,toilet_flush,2,5
5-198411-A-20.wav,crying_baby,0,5
5-198411-B-20.wav,crying_baby,0,5
5-198411-C-20.wav,crying_baby,0,5
5-198411-D-20.wav,crying_baby,0,5
5-198411-E-20.wav,crying_baby,0,5
5-198411-F-20.wav,crying_baby,0,5
5-198411-G-20.wav,crying_baby,0,5
5-201664-A-18.wav,toilet_flush,2,5
5-202020-A-18.wav,toilet_flush,2,5
5-202540-A-18.wav,toilet_flush,2,5
5-210612-A-37.wav,clock_alarm,1,5
5-211408-A-37.wav,clock_alarm,1,5
5-219242-A-37.wav,clock_alarm,1,5
5-219242-B-37.wav,clock_alarm,1,5
5-223176-A-37.wav,clock_alarm,1,5
5-233645-A-37.wav,clock_alarm,1,5
5-234247-A-37.wav,clock_alarm,1,5
5-241846-A-15.wav,water_drops,3,5
5-250629-A-37.wav,clock_alarm,1,5
5-254832-A-15.wav,water_drops,3,5
5-254832-B-15.wav,water_drops,3,5
5-257349-A-15.wav,water_drops,3,5
5-259180-A-15.wav,water_drops,3,5
5-261433-A-15.wav,water_drops,3,5
5-261439-A-15.wav,water_drops,3,5
5-262641-A-15.wav,water_drops,3,5
